SYMBOL,SERIES,LAST
BIRLAMONEY,EQ,47.5
BIRLATYRE,BE,4.8
BKMINDST,BZ,1
BLBLIMITED,EQ,22.5
BLISSGVS,EQ,74.5
BLKASHYAP,EQ,32.5
BLS,EQ,166.9
BLUECHIP,BE,0.3
BLUEDART,EQ,6449.9
BLUESTARCO,EQ,1420
BMETRICS,SM,398
BODALCHEM,EQ,66.2
BOHRAIND,EQ,78.8
BOMDYEING,EQ,69.75
BOROLTD,EQ,375
BORORENEW,EQ,436.1
BOSCHLTD,EQ,18588.8
BPCL,EQ,335.4
BPL,EQ,56.5
BRIGADE,EQ,491.9
BRIGHT,SM,6.25
BRITANNIA,EQ,4258
BRITANNIA,N3,29.51
BRNL,EQ,28.5
BROOKS,EQ,68.45
BSE,EQ,458
BSHSL,BE,365.85
BSL,EQ,164
BSLGOLDETF,EQ,54.2
BSLNIFTY,EQ,19.85
BSLSENETFG,EQ,57.86
BSOFT,EQ,267.5
BTML,EQ,199.8
BURNPUR,EQ,5.25
BUTTERFLY,EQ,1211.3
BVCL,EQ,24.5
BYKE,EQ,38.1
CALSOFT,EQ,13.8
CAMLINFINE,EQ,153.9
CAMPUS,EQ,336.5
CAMS,EQ,2229
CANBK,EQ,283.4
CANFINHOME,EQ,581.2
CANTABIL,EQ,855
CAPACITE,EQ,132.1
CAPLIPOINT,EQ,614.95
CAPTRUST,EQ,61
CARBORUNIV,EQ,984
CAREERP,EQ,230.9
CARERATING,EQ,637.1
CARTRADE,EQ,399.9
CARYSIL,EQ,593.9
CASTROLIND,EQ,114.8
CCCL,BE,1.25
CCHHL,EQ,6.95
CCL,EQ,562.7
CDSL,EQ,990
CEATLTD,EQ,1451.75
CELEBRITY,EQ,14.4
CENTENKA,EQ,364
CENTEXT,EQ,9
CENTRALBK,EQ,24.4
CENTRUM,EQ,18.75
CENTUM,EQ,745
CENTURYPLY,EQ,469
CENTURYTEX,EQ,667
CERA,EQ,6337
CEREBRAINT,EQ,7.95
CESC,EQ,69.5
CGCL,EQ,584
CGPOWER,EQ,287
CHALET,EQ,364.05
CHAMBLFERT,EQ,279
CHEMBOND,EQ,274
CHEMCON,EQ,251.5
CHEMFAB,EQ,265
CHEMPLASTS,EQ,403.45
CHENNPETRO,EQ,250
CHEVIOT,EQ,1024
CHOICEIN,EQ,287
CHOLAFIN,EQ,829.1
CHOLAHLDNG,EQ,577.25
CIGNITITEC,EQ,783
CINELINE,EQ,98
CINEVISTA,EQ,12.75
CIPLA,EQ,902
CLEAN,EQ,1398
CLEDUCATE,EQ,53
CLOUD,SM,684
CLSEL,EQ,176.75
CMICABLES,EQ,11.05
CMMIPL,ST,4.1
CMNL,SM,46
CMSINFO,EQ,286
COALINDIA,EQ,222
COASTCORP,EQ,193
COCHINSHIP,EQ,485.8
COFFEEDAY,EQ,31.9
COFORGE,EQ,4040
COLPAL,EQ,1536.95
COMPINFO,EQ,14.2
COMPUSOFT,EQ,18.8
CONCOR,EQ,577
CONFIPET,EQ,64.45
CONSOFINVT,EQ,106
CONSUMBEES,EQ,79.27
CONTROLPR,EQ,529.1
COOLCAPS,SM,490
CORALFINAC,EQ,29.35
CORDSCABLE,EQ,66.7
COROMANDEL,EQ,935.05
COSMOFIRST,EQ,616.3
COUNCODOS,EQ,3.85
CPSEETF,EQ,40.59
CRAFTSMAN,EQ,3017
CREATIVE,EQ,445.75
CREATIVEYE,EQ,4.25
CREDITACC,EQ,957
CREDITACC,N1,1004
