SYMBOL,SERIES,LAST
SGBFEB28IX,GB,5736.99
SGBFEB29XI,GB,5574.99
SGBJ28VIII,GB,5600
SGBJAN26,GB,5975
SGBJAN27,GB,5652
SGBJAN29IX,GB,5590
SGBJAN29X,GB,5659
SGBJAN30IX,GB,5560
SGBJU29III,GB,5570.01
SGBJUL25,GB,5900
SGBJUL27,GB,5670
SGBJUL28IV,GB,5634
SGBJUL29IV,GB,5570.01
SGBJUN28,GB,5575
SGBJUN29II,GB,5560
SGBJUN30,GB,5580
SGBMAR24,GB,5901
SGBMAR25,GB,5900.01
SGBMAR28X,GB,5580
SGBMAR30X,GB,5589.9
SGBMAR31IV,GB,5670
SGBMAY25,GB,5925
SGBMAY26,GB,5960.06
SGBMAY28,GB,5630
SGBMAY29I,GB,5580
SGBMR29XII,GB,5564.99
SGBN28VIII,GB,5698
SGBNOV23,GB,5988
SGBNOV24,GB,5935.01
SGBNOV25,GB,5900
SGBNOV258,GB,5930.01
SGBNOV26,GB,5800
SGBNV29VII,GB,5580
SGBOC28VII,GB,5650
SGBOCT25,GB,5900
SGBOCT25IV,GB,5960
SGBOCT25V,GB,6020.01
SGBOCT27,GB,5625
SGBOCT27VI,GB,5635
SGBSEP24,GB,5894
SGBSEP27,GB,5725
SGBSEP28VI,GB,5635
SGBSEP29VI,GB,5555
SGIL,EQ,124.8
SGL,EQ,15
SHAHALLOYS,EQ,51.25
SHAILY,EQ,1088.25
SHAKTIPUMP,EQ,431
SHALBY,EQ,146
SHALPAINTS,EQ,149.95
SHANKARA,EQ,643.3
SHANTI,EQ,15.35
SHANTIGEAR,EQ,374.05
SHARDACROP,EQ,467
SHARDAMOTR,EQ,630
SHAREINDIA,EQ,1190
SHAREINDIA,W1,685
SHARIABEES,EQ,397.5
SHEMAROO,EQ,116.95
SHERA,SM,69.15
SHILPAMED,EQ,233.7
SHIVALIK,EQ,772.5
SHIVAMAUTO,EQ,26
SHIVAMILLS,EQ,74.3
SHIVATEX,EQ,121.85
SHK,EQ,105
SHOPERSTOP,EQ,600
SHRADHA,EQ,39.25
SHREDIGCEM,EQ,63.5
SHREECEM,EQ,25950
SHREEPUSHK,EQ,157.8
SHREERAMA,EQ,10.2
SHRENIK,EQ,1.3
SHREYANIND,EQ,157
SHREYAS,EQ,268
SHRIPISTON,BE,1160
SHRIRAMFIN,EQ,1303
SHRIRAMFIN,YH,998.05
SHRIRAMFIN,YI,1059
SHRIRAMFIN,YK,1064
SHRIRAMFIN,YN,1524
SHRIRAMFIN,YO,1009
SHRIRAMFIN,YP,1019.95
SHRIRAMFIN,YV,1000
SHRIRAMFIN,YW,1030
SHRIRAMFIN,Z8,1055
SHRIRAMFIN,ZF,1003
SHRIRAMFIN,ZH,1008
SHRIRAMPPS,EQ,64.95
SHUBHLAXMI,SM,45
SHYAMCENT,EQ,17.95
SHYAMMETL,EQ,282
SHYAMTEL,EQ,8.25
SIDDHIKA,SM,164.6
SIEMENS,EQ,3380
SIGACHI,EQ,239
SIGIND,EQ,35.2
SIGMA,SM,177
SIKKO,EQ,85.85
SIL,BE,29.45
SILGO,EQ,16.8
SILINV,EQ,290.8
SILLYMONKS,EQ,18
SILVER,EQ,76.05
SILVERBEES,EQ,73.23
SILVERTUC,EQ,355.5
SIMBHALS,EQ,21.8
SIMPLEXINF,EQ,39.15
SINTERCOM,EQ,100.25
SIRCA,EQ,628.85
SIS,EQ,347.05
SITINET,EQ,1.25
SIYSIL,EQ,453
SJS,EQ,405.95
SJVN,EQ,32.7
SKFINDIA,EQ,4308
SKIL,BE,3.55
SKIPPER,EQ,102.85
SKMEGGPROD,EQ,154.6
SKYGOLD,EQ,347.95
SMARTLINK,EQ,152.95
SMCGLOBAL,EQ,72.35
SMLISUZU,EQ,876.9
SMLT,EQ,177
SMSLIFE,EQ,560
SMSPHARMA,EQ,69.7
SNOWMAN,EQ,32.7
SOBHA,EQ,463.5
SOFTTECH,EQ,145.45
SOLARA,EQ,338.55
SOLARINDS,EQ,3730
SOLEX,SM,388
SOMANYCERA,EQ,491
SOMATEX,BE,30.25
SOMICONVEY,EQ,42.6
SONACOMS,EQ,418.75
SONAMCLOCK,EQ,38.8
SONATSOFTW,EQ,857.95
SOTL,EQ,260.8
SOUTHBANK,EQ,15.3
SOUTHWEST,EQ,148
SPAL,EQ,337
SPANDANA,EQ,545
SPARC,EQ,182.65
SPCENET,EQ,16
SPECIALITY,EQ,212.2
SPECTRUM,SM,379
SPENCERS,EQ,57.6
SPENTEX,BZ,1.15
SPIC,EQ,61.05
SPICEJET,EQ,32
SPLIL,EQ,63.5
SPLPETRO,EQ,388.6
SPMLINFRA,EQ,20.4
SPORTKING,EQ,674.2
SPTL,BE,2.3
SPYL,BE,0.6
SREEL,EQ,178
SREIBNPNCD,NR,135
SREIBNPNCD,NU,139
SREIBNPNCD,NV,140.1
SREIBNPNCD,NW,155.19
SREINFRA,BE,2.3
SRF,EQ,2393
SRHHYPOLTD,EQ,474.35
SRIRAM,ST,5.45
SRIVASAVI,SM,56.75
SRPL,EQ,45
SSWL,EQ,155
STAMPEDE,BE,1.05
STAR,EQ,310.1
STARCEMENT,EQ,115
STARHEALTH,EQ,564
STARPAPER,EQ,155.8
STARTECK,EQ,117.9
STCINDIA,EQ,72.65
STEELCAS,EQ,483.35
STEELCITY,EQ,62.5
STEELXIND,EQ,15.15
STEL,EQ,145
STERTOOLS,EQ,431.6
STLTECH,EQ,157.3
STOVEKRAFT,EQ,372.95
STYLAMIND,EQ,1072
STYRENIX,EQ,772
SUBEXLTD,EQ,32.1
SUBROS,EQ,300.6
SUDARSCHEM,EQ,420
SUKHJITS,EQ,395
SULA,EQ,361.1
SUMEETINDS,BE,2.6
SUMICHEM,EQ,427.7
SUMIT,BE,33.8
SUMMITSEC,EQ,581
SUNCLAYLTD,EQ,3758
SUNDARAM,EQ,2.5
SUNDARMFIN,EQ,2365
SUNDARMHLD,EQ,81.5
SUNDRMBRAK,EQ,360.4
SUNDRMFAST,EQ,995.75
SUNFLAG,EQ,147.3
SUNPHARMA,EQ,1008.4
SUNTECK,EQ,295.35
SUNTV,EQ,425
SUPERHOUSE,EQ,241.45
SUPERSPIN,EQ,7.1
SUPRAJIT,EQ,355
SUPREMEENG,EQ,0.85
SUPREMEIND,EQ,2558
SUPREMEINF,EQ,22.9
SUPRIYA,EQ,212.3
SURANASOL,EQ,19.5
SURANAT&P,EQ,9.5
SURANI,SM,65.15
SURYALAXMI,EQ,51
SURYAROSNI,EQ,727.75
SURYODAY,EQ,100.85
SUTLEJTEX,EQ,44.45
SUULD,EQ,13.65
SUVEN,EQ,51.3
SUVENPHAR,EQ,467.05
SUVIDHAA,EQ,4.55
SUZLON,EQ,8.1
SVLL,SM,126
SVPGLOB,EQ,10
SWANENERGY,EQ,221.8
SWARAJ,SM,56.25
SWARAJENG,EQ,1598.5
SWELECTES,EQ,310.5
SWSOLAR,EQ,301.3
SYMPHONY,EQ,964.4
SYNCOMF,EQ,6.6
SYNGENE,EQ,603
SYRMA,EQ,279.25
SYSTANGO,SM,187
TAINWALCHM,EQ,115.9
TAJGVK,EQ,202.5
TAKE,EQ,15.85
TALBROAUTO,EQ,446
TANLA,EQ,569
TANTIACONS,BZ,9.45
TAPIFRUIT,SM,128.95
TARACHAND,SM,97
TARAPUR,EQ,3.3
TARC,EQ,44.5
TARMAT,EQ,74.45
TARSONS,EQ,562
TASTYBITE,EQ,9074.1
TATACAPHSG,N4,1005
TATACAPHSG,N8,1011
TATACAPHSG,NB,1054.75
TATACHEM,EQ,1002.35
TATACOFFEE,EQ,210.1
TATACOMM,EQ,1268.35
TATACONSUM,EQ,721.8
TATAELXSI,EQ,6233
TATAINVEST,EQ,1958
TATAMETALI,EQ,753.6
TATAMOTORS,EQ,460.9
TATAMTRDVR,EQ,229.4
TATAPOWER,EQ,195.8
TATASTEEL,EQ,105.1
TATASTLLP,EQ,638.8
TATVA,EQ,1639
TBZ,EQ,65.8
TCFSL,ND,1049
TCFSL,NF,1100
TCFSL,NJ,1054.99
TCFSL,NL,1090
TCI,EQ,613.4
TCIEXP,EQ,1479
TCIFINANCE,BE,2.85
TCNSBRANDS,EQ,464.85
TCPLPACK,EQ,1493.4
TCS,EQ,3263
TDPOWERSYS,EQ,158
TEAMLEASE,EQ,2190
TECH,EQ,29.5
TECHIN,EQ,9.05
TECHM,EQ,1107.9
TECHNOE,EQ,338.95
TEGA,EQ,688
TEJASNET,EQ,611.5
TEMBO,EQ,188.6
TERASOFT,EQ,37
TEXINFRA,EQ,51.5
TEXMOPIPES,EQ,49.45
TEXRAIL,EQ,45.9
TFCILTD,EQ,72.1
TFL,EQ,8.95
TGBHOTELS,EQ,8.95
THANGAMAYL,EQ,1007
THEINVEST,EQ,72.05
THEJO,SM,1450
THEMISMED,EQ,1254
THERMAX,EQ,2305.55
THOMASCOOK,EQ,62.9
THOMASCOTT,EQ,43.3
THYROCARE,EQ,473
TI,EQ,115.5
TIDEWATER,EQ,857.7
TIIL,EQ,1358
TIINDIA,EQ,2572
TIJARIA,EQ,4.7
TIL,BZ,145
TIMESGTY,EQ,54.15
TIMETECHNO,EQ,81.5
TIMKEN,EQ,2932.75
TINPLATE,EQ,315.8
TIPSFILMS,EQ,424.8
TIPSINDLTD,EQ,1597.5
TIRUMALCHM,EQ,182.5
TIRUPATIFL,EQ,10.2
TITAN,EQ,2578
TMB,EQ,400
TNIDETF,EQ,53.33
TNPETRO,EQ,77
TNPL,EQ,230.5
TNTELE,BE,6.25
TOKYOPLAST,EQ,98
TORNTPHARM,EQ,1571.5
TORNTPOWER,EQ,520.05
TOTAL,EQ,132.6
TOUCHWOOD,EQ,173
TPLPLASTEH,EQ,30.3
TRACXN,EQ,70.2
TREEHOUSE,EQ,16
TREJHARA,EQ,57.25
TRENT,EQ,1353.75
TRF,EQ,160.5
TRIDENT,EQ,29.8
TRIGYN,EQ,93.8
TRIL,EQ,59.6
TRITURBINE,EQ,332.1
TRIVENI,EQ,275.85
TRU,EQ,61.5
TTKHLTCARE,EQ,1298
TTKPRESTIG,EQ,715
TTL,EQ,73.55
TTML,EQ,60.95
TV18BRDCST,EQ,30.05
TVSELECT,EQ,360.05
TVSMOTOR,EQ,1102.2
TVSSRICHAK,EQ,2721
TVTODAY,EQ,196.95
TVVISION,EQ,2.3
TWL,EQ,287
UBL,EQ,1398
UCALFUEL,EQ,116.9
UCOBANK,EQ,24.85
UDAICEMENT,EQ,28.45
UFLEX,EQ,372
UFO,EQ,69.3
UGARSUGAR,EQ,97.75
UGROCAP,EQ,160
UGROCAP,N1,670
UGROCAP,N2,1000
UGROCAP,N4,1002
UGROCAP,N7,1004.95
UJAAS,BE,1.95
UJJIVAN,EQ,264.55
UJJIVANSFB,EQ,26.35
ULTRACEMCO,EQ,7700
UMA,SM,33
UMAEXPORTS,EQ,40.4
UMANGDAIRY,EQ,61.15
UMESLTD,EQ,3.6
UNICHEMLAB,EQ,369
UNIDT,EQ,220.55
UNIENTER,EQ,156.1
UNIINFO,EQ,18.9
UNIONBANK,EQ,66.7
UNIPARTS,EQ,524
UNITECH,BZ,1.35
UNITEDPOLY,EQ,84.15
UNITEDTEA,EQ,273.15
UNIVAFOODS,BE,6.4
UNIVASTU,EQ,85.5
UNIVCABLES,EQ,407.15
UNIVPHOTO,EQ,381.8
UNOMINDA,EQ,504.45
UPL,EQ,735.3
URJA,EQ,7.65
USASEEDS,SM,479.1
USHAMART,EQ,210.5
USK,BE,33.05
UTIAMC,EQ,668.3
UTIBANKETF,EQ,41.28
UTINEXT50,EQ,41.1
UTINIFTETF,EQ,1879.19
UTISENSETF,EQ,636.21
UTISXN50,EQ,48.25
UTTAMSUGAR,EQ,248
V2RETAIL,EQ,80
VADILALIND,EQ,2038
VAIBHAVGBL,EQ,308.1
VAISHALI,EQ,145
VAKRANGEE,EQ,17.1
VALIANTORG,EQ,437.85
VARDHACRLC,EQ,49.75
VARDMNPOLY,EQ,28
VARROC,EQ,261.15
VASCONEQ,EQ,27.4
VASWANI,EQ,20.8
VBL,EQ,1416.4
VCL,EQ,2.25
VEDL,EQ,269.6
VEEKAYEM,SM,40.6
VELS,SM,101.5
VENKEYS,EQ,1520
VENUSPIPES,EQ,781.95
VENUSREM,EQ,173
VERANDA,EQ,196.1
VERTEXPLUS,SM,105.9
VERTOZ,EQ,217.95
VESUVIUS,EQ,1709.75
VETO,EQ,84.85
VGUARD,EQ,250.9
VHL,EQ,2657.95
VIAZ,SM,55.05
VICEROY,BZ,2.3
VIDHIING,EQ,345
VIJAYA,EQ,391.95
VIJIFIN,EQ,2.3
VIKASECO,EQ,2.65
VIKASLIFE,EQ,3.3
VIKASPROP,BZ,0.4
VIKASWSP,BZ,1.2
VIMTALABS,EQ,337.2
VINATIORGA,EQ,1872.4
VINDHYATEL,EQ,1735
VINEETLAB,EQ,47
VINNY,BE,7.95
VINYLINDIA,EQ,405.2
VIPCLOTHNG,EQ,40.55
VIPIND,EQ,600.45
VIPULLTD,EQ,12.75
VISAKAIND,EQ,384
VISASTEEL,BE,11.45
VISESHINFO,EQ,0.5
VISHAL,EQ,19.1
VISHNU,EQ,305.85
VISHWARAJ,EQ,15.3
VITAL,SM,97
VIVIANA,SM,105.5
VIVIDHA,EQ,1
VIVIMEDLAB,BZ,6.55
VIVO,SM,96.65
VLSFINANCE,EQ,151.55
VMARCIND,SM,45.5
VMART,EQ,2104
VOLTAMP,EQ,2902
VOLTAS,EQ,823.55
VRLLOG,EQ,635.25
VSCL,SM,28.8
VSSL,EQ,414
VSTIND,EQ,3314
VSTTILLERS,EQ,2448
VTL,EQ,305.5
WABAG,EQ,352.2
WALCHANNAG,EQ,60.6
WALPAR,SM,53.95
WANBURY,BE,38.65
WATERBASE,EQ,66.45
WEALTH,EQ,297.05
WEBELSOLAR,EQ,82.3
WEIZMANIND,EQ,83.1
WEL,EQ,223.9
WELCORP,EQ,212.6
WELENT,EQ,131.95
WELINV,EQ,289.5
WELSPUNIND,EQ,74.4
WENDT,EQ,8635.1
WESTLIFE,EQ,728
WEWIN,EQ,40.35
WHEELS,EQ,505
WHIRLPOOL,EQ,1328.95
WILLAMAGOR,EQ,19.1
WINDLAS,EQ,248
WINDMACHIN,EQ,40.05
WINPRO,EQ,2.4
WIPL,BE,87.9
WIPRO,EQ,374.1
WOCKPHARMA,EQ,161.2
WONDERLA,EQ,419.95
WORTH,EQ,96.35
WSI,EQ,39.45
WSTCSTPAPR,EQ,524.5
XCHANGING,EQ,58.85
XELPMOC,EQ,99.4
XPROINDIA,EQ,657.9
YAARI,EQ,14.65
YESBANK,EQ,15.2
YUKEN,EQ,535
ZEEL,EQ,211.4
ZEELEARN,EQ,3.85
ZEEMEDIA,EQ,9.1
ZENITHEXPO,BE,82.95
ZENITHSTL,EQ,4.65
ZENSARTECH,EQ,286.55
ZENTEC,EQ,309.85
ZFCVINDIA,EQ,10232.3
ZIMLAB,EQ,80
ZODIAC,EQ,119.8
ZODIACLOTH,EQ,87.75
ZOMATO,EQ,53.9
ZOTA,EQ,283.1
ZUARI,EQ,128.15
ZUARIIND,EQ,118.15
ZYDUSLIFE,EQ,496.4
ZYDUSWELL,EQ,1509.4
